letter	frequency
Flipkart	1010000.0
Amazon	391500.0
BigBazaar	78000.0
Myntra	110000.0
ShoppersStop	67000.0
Jabong	71000.0
Lifestyle	55000.0
ExcitingLives	500.0
Croma	37000.0
