letter	frequency
HOME & KITCHEN	37276.0
KIDS	2067.0
VIP	29975.0
BAR	34919.0
ROMANCE	2270.0
OPEN	0.0
FLOWERS	1636.0
FASHION	3939.0
GADGETS	2371.0
FREE LOVE	2075.0
FOOD & BEVERAGES	1755.0
VOUCHERS	17500.0
TOPS & TEES	1798.0
JACKETS & SHRUGS	1818.0
SLING BAGS	399.0
