letter	frequency
Jan	1980.0
Feb	1326.0
Mar	0
Apr	148.0
May	2706.0
Jun	2398.0
Jul	52694.0
Aug	9496.0
Sep	1625.0
Oct	9288.0
Nov	3035.0
Dec	8625.0
