letter	frequency
Excitinglives.com	6681.0
GIFTXOXO	1875.0
GiftsByMeeta	0.0
Flipkart	187.5
XCanvas	62.5
Jabong	401.5
Happily Unmarried	0.0
Ferns & Petals	0.0
